Case ID,Activity,Activity ID,Event Type,Timestamp,Resource,Cost,Duration (min)
38,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
39,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
40,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
41,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
42,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
43,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
44,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
45,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
46,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
47,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
48,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
49,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
50,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
43,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:01:03 GMT+0100 (Central European Standard Time),Uporabnik (User),0,1.0556323312679083
43,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:01:03 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
37,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:01:16 GMT+0100 (Central European Standard Time),Uporabnik (User),0,1.275065918422361
37,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:01:16 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
13,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:01:18 GMT+0100 (Central European Standard Time),Uporabnik (User),0,1.3001555887093401
13,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:01:18 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
11,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:01:19 GMT+0100 (Central European Standard Time),Uporabnik (User),0,1.326545701648409
11,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:01:19 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
31,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:01:24 GMT+0100 (Central European Standard Time),Uporabnik (User),0,1.400765313787553
31,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:01:24 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
32,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:01:29 GMT+0100 (Central European Standard Time),Uporabnik (User),0,1.495569664320409
32,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:01:29 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
25,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:01:33 GMT+0100 (Central European Standard Time),Uporabnik (User),0,1.5578971820143348
25,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:01:33 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
18,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:01:34 GMT+0100 (Central European Standard Time),Uporabnik (User),0,1.5679949424183137
18,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:01:34 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
35,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:01:38 GMT+0100 (Central European Standard Time),Uporabnik (User),0,1.6454164016077693
35,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:01:38 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
30,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:01:54 GMT+0100 (Central European Standard Time),Uporabnik (User),0,1.9155887099384588
30,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:01:54 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
19,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:02:05 GMT+0100 (Central European Standard Time),Uporabnik (User),0,2.083574083367835
19,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:02:05 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
39,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:02:09 GMT+0100 (Central European Standard Time),Uporabnik (User),0,2.151069001876861
39,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:02:09 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
10,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:02:10 GMT+0100 (Central European Standard Time),Uporabnik (User),0,2.1691666457501038
10,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:02:10 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
7,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:02:11 GMT+0100 (Central European Standard Time),Uporabnik (User),0,2.191896412438463
7,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:02:11 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
34,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:02:15 GMT+0100 (Central European Standard Time),Uporabnik (User),0,2.2664609716643787
34,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:02:15 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
48,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:02:24 GMT+0100 (Central European Standard Time),Uporabnik (User),0,2.4026795512055408
48,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:02:24 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
2,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:02:24 GMT+0100 (Central European Standard Time),Uporabnik (User),0,2.4087347569771103
2,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:02:24 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
6,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:02:26 GMT+0100 (Central European Standard Time),Uporabnik (User),0,2.443298568659646
6,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:02:26 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
20,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:02:29 GMT+0100 (Central European Standard Time),Uporabnik (User),0,2.484141338200401
20,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:02:29 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
26,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:02:34 GMT+0100 (Central European Standard Time),Uporabnik (User),0,2.568837434818793
26,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:02:34 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
12,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:02:38 GMT+0100 (Central European Standard Time),Uporabnik (User),0,2.6381739861914424
12,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:02:38 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
27,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:02:39 GMT+0100 (Central European Standard Time),Uporabnik (User),0,2.6660715093058442
27,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:02:39 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
38,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:02:52 GMT+0100 (Central European Standard Time),Uporabnik (User),0,2.8776147083602224
38,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:02:52 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
3,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:02:55 GMT+0100 (Central European Standard Time),Uporabnik (User),0,2.925155178096321
3,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:02:55 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
36,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:03:02 GMT+0100 (Central European Standard Time),Uporabnik (User),0,3.041635557712839
36,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:03:02 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
47,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:03:06 GMT+0100 (Central European Standard Time),Uporabnik (User),0,3.1093852349125637
47,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:03:06 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
45,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:03:16 GMT+0100 (Central European Standard Time),Uporabnik (User),0,3.2821614002289854
45,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:03:16 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
50,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:03:18 GMT+0100 (Central European Standard Time),Uporabnik (User),0,3.307331820519323
50,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:03:18 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
21,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:03:19 GMT+0100 (Central European Standard Time),Uporabnik (User),0,3.318282230424515
21,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:03:19 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
28,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:03:20 GMT+0100 (Central European Standard Time),Uporabnik (User),0,3.339191738968478
28,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:03:20 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
40,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:03:35 GMT+0100 (Central European Standard Time),Uporabnik (User),0,3.593523769820804
40,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:03:35 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
24,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:03:41 GMT+0100 (Central European Standard Time),Uporabnik (User),0,3.6893598688523683
24,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:03:41 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
5,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:03:42 GMT+0100 (Central European Standard Time),Uporabnik (User),0,3.7164764107636925
5,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:03:42 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
42,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:03:43 GMT+0100 (Central European Standard Time),Uporabnik (User),0,3.7333020886899586
42,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:03:43 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
16,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:03:45 GMT+0100 (Central European Standard Time),Uporabnik (User),0,3.7532763342384197
16,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:03:45 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
33,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:03:50 GMT+0100 (Central European Standard Time),Uporabnik (User),0,3.836442846589577
33,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:03:50 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
44,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:03:50 GMT+0100 (Central European Standard Time),Uporabnik (User),0,3.8403848310176905
44,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:03:50 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
14,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:03:52 GMT+0100 (Central European Standard Time),Uporabnik (User),0,3.868852499437745
14,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:03:52 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
17,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:03:58 GMT+0100 (Central European Standard Time),Uporabnik (User),0,3.9750748685570745
17,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:03:58 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
8,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:04:05 GMT+0100 (Central European Standard Time),Uporabnik (User),0,4.098387164395073
8,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:04:05 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
4,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:04:06 GMT+0100 (Central European Standard Time),Uporabnik (User),0,4.104572635985565
4,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:04:06 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
22,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:04:08 GMT+0100 (Central European Standard Time),Uporabnik (User),0,4.142023491429826
22,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:04:08 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
23,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:04:08 GMT+0100 (Central European Standard Time),Uporabnik (User),0,4.147478308075854
23,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:04:08 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
41,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:04:14 GMT+0100 (Central European Standard Time),Uporabnik (User),0,4.247169117396562
41,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:04:14 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
15,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:04:19 GMT+0100 (Central European Standard Time),Uporabnik (User),0,4.332384406036459
15,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:04:19 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
49,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:04:22 GMT+0100 (Central European Standard Time),Uporabnik (User),0,4.381323375803212
49,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:04:22 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
9,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:04:27 GMT+0100 (Central European Standard Time),Uporabnik (User),0,4.458513252315394
9,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:04:27 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
46,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:04:28 GMT+0100 (Central European Standard Time),Uporabnik (User),0,4.483046982059715
46,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:04:28 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
29,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:04:39 GMT+0100 (Central European Standard Time),Uporabnik (User),0,4.663019666509291
29,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:04:39 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
1,Report Issue or Request,Task_1,complete,Mon Jan 01 2024 08:04:58 GMT+0100 (Central European Standard Time),Uporabnik (User),0,4.966915152591747
1,Validate and Record Ticket,Task_2,start,Mon Jan 01 2024 08:04:58 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
31,Validate and Record Ticket,Task_2,complete,Mon Jan 01 2024 08:06:47 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),10,5.390608249707617
31,Categorize and Prioritize,Task_3,start,Mon Jan 01 2024 08:06:47 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
25,Validate and Record Ticket,Task_2,complete,Mon Jan 01 2024 08:06:49 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),10,5.272505203987622
25,Categorize and Prioritize,Task_3,start,Mon Jan 01 2024 08:06:49 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
35,Validate and Record Ticket,Task_2,complete,Mon Jan 01 2024 08:07:18 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),10,5.659193249130897
35,Categorize and Prioritize,Task_3,start,Mon Jan 01 2024 08:07:18 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
19,Validate and Record Ticket,Task_2,complete,Mon Jan 01 2024 08:07:24 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),10,5.319052487450653
19,Categorize and Prioritize,Task_3,start,Mon Jan 01 2024 08:07:24 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
48,Validate and Record Ticket,Task_2,complete,Mon Jan 01 2024 08:07:35 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),10,5.186062779097549
48,Categorize and Prioritize,Task_3,start,Mon Jan 01 2024 08:07:35 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
26,Validate and Record Ticket,Task_2,complete,Mon Jan 01 2024 08:07:44 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),10,5.173012042577039
26,Categorize and Prioritize,Task_3,start,Mon Jan 01 2024 08:07:44 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
37,Validate and Record Ticket,Task_2,complete,Mon Jan 01 2024 08:08:06 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),10,6.826407190516156
37,Categorize and Prioritize,Task_3,start,Mon Jan 01 2024 08:08:06 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
11,Validate and Record Ticket,Task_2,complete,Mon Jan 01 2024 08:08:27 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),10,7.123547516109221
11,Categorize and Prioritize,Task_3,start,Mon Jan 01 2024 08:08:27 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
20,Validate and Record Ticket,Task_2,complete,Mon Jan 01 2024 08:08:34 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),10,6.084306935112275
20,Categorize and Prioritize,Task_3,start,Mon Jan 01 2024 08:08:34 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
43,Validate and Record Ticket,Task_2,complete,Mon Jan 01 2024 08:08:34 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),10,7.518949431416948
43,Categorize and Prioritize,Task_3,start,Mon Jan 01 2024 08:08:34 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
34,Validate and Record Ticket,Task_2,complete,Mon Jan 01 2024 08:08:43 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),10,6.46298613080742
34,Categorize and Prioritize,Task_3,start,Mon Jan 01 2024 08:08:43 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
32,Validate and Record Ticket,Task_2,complete,Mon Jan 01 2024 08:09:13 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),10,7.7238474797956735
32,Categorize and Prioritize,Task_3,start,Mon Jan 01 2024 08:09:13 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
13,Validate and Record Ticket,Task_2,complete,Mon Jan 01 2024 08:09:52 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),10,8.573551922821142
13,Categorize and Prioritize,Task_3,start,Mon Jan 01 2024 08:09:52 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
3,Validate and Record Ticket,Task_2,complete,Mon Jan 01 2024 08:09:55 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),10,6.998568069125495
3,Categorize and Prioritize,Task_3,start,Mon Jan 01 2024 08:09:55 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
10,Validate and Record Ticket,Task_2,complete,Mon Jan 01 2024 08:09:58 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),10,7.8110851372523795
10,Categorize and Prioritize,Task_3,start,Mon Jan 01 2024 08:09:58 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
38,Validate and Record Ticket,Task_2,complete,Mon Jan 01 2024 08:10:01 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),10,7.148783136946953
38,Categorize and Prioritize,Task_3,start,Mon Jan 01 2024 08:10:01 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
6,Validate and Record Ticket,Task_2,complete,Mon Jan 01 2024 08:10:02 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),10,7.6003751044011345
6,Categorize and Prioritize,Task_3,start,Mon Jan 01 2024 08:10:02 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
16,Validate and Record Ticket,Task_2,complete,Mon Jan 01 2024 08:10:12 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),10,6.460725409159825
16,Categorize and Prioritize,Task_3,start,Mon Jan 01 2024 08:10:12 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
30,Validate and Record Ticket,Task_2,complete,Mon Jan 01 2024 08:10:13 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),10,8.310742602971352
30,Categorize and Prioritize,Task_3,start,Mon Jan 01 2024 08:10:13 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
27,Validate and Record Ticket,Task_2,complete,Mon Jan 01 2024 08:10:14 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),10,7.573923307524338
27,Categorize and Prioritize,Task_3,start,Mon Jan 01 2024 08:10:14 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
12,Validate and Record Ticket,Task_2,complete,Mon Jan 01 2024 08:10:27 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),10,7.816061673269676
12,Categorize and Prioritize,Task_3,start,Mon Jan 01 2024 08:10:27 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
4,Validate and Record Ticket,Task_2,complete,Mon Jan 01 2024 08:10:39 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),10,6.56191798214064
4,Categorize and Prioritize,Task_3,start,Mon Jan 01 2024 08:10:39 GMT+0100 (Central European Standard Time),Service Desk Operator (Level 1),0,
